Day_Relative_to_Event,iPod Launch,iPhone Launch,iPad Launch,iPhone 5S Touch ID,Apple Pay Launch,AirPods Launch,M1 Chip Announcement,Vision Pro Announcement
-30,2.260095045186783,-10.32448936745799,-15.43883480673156,-1.3692570211904398,-1.4033520102776365,-1.9358967939344995,-1.7905460224291847,-8.234749986003386
-29,-2.315335020259768,-9.849196796919568,-15.962967511105653,-2.772727603548786,-1.7742635126052009,-3.7064733035255815,-0.3099639295654377,-8.062361533458285
-28,-4.741171902595331,-8.243187988845724,-17.371812487158344,-0.010698767822181487,1.2429892165245926,-3.6201133548860787,0.5336394158148128,-8.92984224285074
-27,-4.244790000447008,-6.964949640092821,-15.862320965214838,4.741016376326668,1.6740389319356286,-4.653192713866949,-2.711598111575253,-8.935415089807542
-26,-6.339647182870833,-7.497519639161975,-15.3004483061287,6.65153709600903,1.9045442072600283,-5.512668532470688,0.2840057598617163,-6.349605501775956
-25,-10.253797118318285,-9.300224595525798,-14.201862957764455,6.525315454856417,1.8744967549791047,-4.149681382006309,-2.591072727952226,-5.643393351232373
-24,-6.174201156774595,-6.899360372735163,-12.369505156593807,7.470935675726098,1.1026436214516488,-3.5853998309008817,-0.9383259974414915,-5.693428572829151
-23,-13.561298842787162,-6.301188078347808,-12.428218419471227,8.628420611768384,1.8243714720878268,-3.7416537933756544,-1.0330216167824036,-6.277321892714271
-22,-13.28564676566769,-2.679402019216637,-12.226945327665605,7.201395537482402,2.034868210436458,-6.424185900691304,0.6885977269672328,-6.883446399919368
-21,-9.316580056112066,-0.6964682566901637,-11.64832602200877,7.477386695284927,1.202885525529851,-5.8685683624017155,7.084377162406441,-7.8065609780828
-20,-14.333091790826968,-2.982621286892828,-8.193250168099798,7.605771909151127,1.3031101061994343,-8.229906979681312,4.243718085761716,-3.4802171243094926
-19,-16.482936961130868,-0.5817700920627389,-8.138730233523717,7.190723235381502,2.8869373876576843,-7.014481042514942,4.321200620427956,-3.519141052282504
-18,-14.498565206835467,0.5162394505275225,-6.486685549310678,7.607889166852488,1.9947905045546666,-4.514288329294558,3.9079987318950904,-4.481153758201561
-17,-14.498565206835467,1.31105578136268,-5.723546465077578,4.531348316019246,-1.8945659238851054,-4.549023405550445,2.453232886953294,-3.48578137119383
-16,-14.333091790826968,1.6634100022297371,-5.44681346382384,5.0255691949590675,0.9923801254769105,-4.453525294140004,-0.16360878166029602,-3.3801208808985406
-15,-17.034273983264548,2.007563121934486,-4.985547350676511,5.196736247253364,0.3508596568301936,-3.003732781441948,1.1534118368037305,-3.903555691360261
-14,-17.42018141324936,-1.5158683490714364,-6.142839295259517,4.238266918708544,0.9923801254769105,-2.9429697462873827,0.602505270873599,-4.181991637461535
-13,-12.458931565537268,-1.3601907345535458,-5.887052935536474,4.529197976166288,-0.5814082406761956,-3.4377955130615034,-0.3615896672292451,-4.181991637461535
-12,-11.025546242498452,-3.7200885354142676,-6.025432769480677,6.692188443875136,0.14034559507294375,-2.951655311373913,-0.9727859576912246,-3.8367245282408757
-11,-10.694681580218257,-2.695830277462341,-5.803206369485691,5.960510497297511,-0.1403542567772642,-3.142651534194796,-0.9641692780837707,-2.5225646551297887
-10,-11.797344668520704,-1.261862202349373,-6.809538495220469,6.591651785212149,-0.1403542567772642,-3.2381424615150034,0.370071183234999,-2.4613063389672174
-9,-7.276919024901596,2.4992057829553493,-5.761279753130966,8.292504444587067,-1.0124319709742813,-4.0541976387763246,-4.2782794187127156,-2.9958954434150087
-8,-2.205096101341797,1.3274840396083842,-4.247574902910111,5.825713962454415,1.0424967466638568,-4.948358245004347,-0.7317487068053463,-4.465983230374704
-7,-0.7168487840193638,-0.40149568803818925,-3.824082077768176,0.06420583979371841,1.2630410620219523,-4.592436862802629,-6.292561751012016,-4.310063916598561
-6,-0.8270438790777046,1.5241020201351096,-4.964614042463145,1.1296297644087572,0.9723369416838601,-5.278258852397622,-6.370037527498185,-3.6696681206235815
-5,-0.7168487840193638,0.786654313554469,-3.182502847663249,-0.537009333798244,0.05008197436966455,-4.549023405550445,-4.9324982835912135,-2.3109598721478775
-4,-6.339647182870833,0.2458571574019297,-2.557816930619683,-3.6991138614876795,-1.0124319709742813,-3.6114493420702387,-1.0502549759973112,-1.2696458980363423
-3,-0.7717710361099805,-1.9583565149606241,-1.106985338284261,-2.586587569447707,-2.2253217649920276,-2.6651753453230564,2.4618428083806654,-1.2974843326029828
-2,0.8819770871332233,-0.1228927518094669,-1.4634249105567765,-0.5840653862109635,-3.5084060108070303,-1.076478448052598,2.345446672789131,0.28399159291316867
-1,4.851060230636217,-1.2127011932374199,-1.0566920653028555,1.046216427405522,-2.0950497320415207,-1.640781551428716,0.3018135643837905,0.762878028010272
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
