Day_Relative_to_Event,iPod Launch,iPhone Launch,iPad Launch,iPhone 5S Touch ID,Apple Pay Launch,AirPods Launch,M1 Chip Announcement,Vision Pro Announcement
1,4.465147322668939,-0.6391126603961794,0.44026613834731165,4.969938248855854,2.716527016895176,0.0,3.0352676303516013,-0.20604053609756257
2,5.78829920477224,4.20357569313472,0.8846789383852638,4.640440019081793,3.23777105937495,0.5468888686616769,2.79383164684075,-0.9800642580214403
3,2.9216162064138906,8.775881753540048,0.6121325987742177,3.0208966718693775,5.082211700368777,0.6771364245084621,2.8369488357784522,0.5512818451008261
4,-2.811738834337918,8.407125330348375,1.3836716729273224,4.0242915622649145,5.473140401376453,1.2587675535162601,3.7337390584219587,0.7684508749670638
5,-2.9769328732412337,6.792928449072755,1.5932847547249551,3.281868532852883,5.362885567106024,1.527883573484301,2.949046768836383,2.3443453534539582
6,-3.1976079184455553,8.448078724317742,1.652058017530389,1.99826120211275,6.996777499525342,1.623396053075199,1.7763268115318587,2.077063701338755
7,2.4804633233736384,8.480863587026155,3.0189830438870136,4.396578246897387,7.598228923994577,0.9549451936532671,2.3023362420315108,2.433433504110716
8,2.3702463163854715,9.857417440022687,4.373328085339634,4.738872652904047,7.237373660380819,1.1545910611095334,1.181363669632307,3.5805627698219045
9,5.1266903958258725,12.856506069042851,3.736002183464038,3.4231028543942,8.259835884955935,1.7970211457230212,-1.828060680077015,2.973595455515299
10,7.8828934440382525,13.159653682936057,3.5976356828371747,3.3418332408135853,9.663187895233571,1.3629584141034545,-0.6898344739226459,3.0237080777642644
11,7.9931433189211365,13.823389188759961,2.557743597374351,4.351606370034444,8.86126132431222,1.336923271114565,0.051747384905320715,2.439014951139984
12,3.1420830882849193,13.176055885260674,8.692142902761857,2.894668414286472,9.121874683847796,0.5468888686616769,0.5346328682871881,4.131861815067661
13,3.1420830882849193,14.71653405179929,11.732085921496903,4.1034637674351115,9.43397321385262,0.8334047551636914,2.655863400420211,3.953651113464285
14,3.3624623224366657,17.789282769733994,13.560303727635524,4.756015823854742,9.746071743857465,0.7205570658508798,5.820475839404815,3.16849889777171
15,6.7804713869638045,17.748322861784338,13.002637730168054,5.43418669846083,9.564851566105425,1.2327324105273707,6.130906083396082,4.722127788648756
16,8.10363422503202,10.529373588949742,9.87461481712888,6.125292694336126,10.440723106793959,2.3613170650089055,6.0101779543705325,5.384771972088642
17,7.221328458951515,12.471373499447648,9.690081705235286,6.690024871161571,12.00119843340952,3.2988767603086444,5.415214812470981,5.574111167460694
18,4.5753752856219965,19.632908550165816,12.641971496300863,7.209963814742593,13.581803560861294,3.4030460686251596,6.708622349720539,8.013117518528201
19,10.253457483406091,17.871176529712194,9.476301961770982,7.935217207482648,14.950985147602381,3.9586636069147474,7.251878655795285,7.172288433702345
20,7.662448474097028,15.888242767185723,11.681792648515499,8.8744658059573,14.759682746023595,3.5246152434756484,5.009926752816796,6.543038331640982
21,8.489492353174732,7.96458505261699,8.465723174465523,11.54237592042817,16.249695108007977,3.342275849380383,6.268867571636538,6.810311383683709
22,9.371480396272869,10.61948799203105,7.337757861357241,11.223530143464068,15.44426054683765,4.17569497272452,5.553169542531355,6.181069881694823
23,17.805732774374604,11.840390286430779,3.2538027621033416,12.312554875018943,17.095354624033533,4.167030959908691,5.009926752816796,5.028384969171751
24,15.76613747895359,8.038407991038321,-1.1028320099349176,13.799438794380524,17.25646232435796,3.9847059339938706,10.26991292693198,4.733264882489907
25,13.175117513679613,10.824365699542525,6.49919886762802,12.526437601438145,19.43102650204347,4.17569497272452,10.209542104239123,5.674336411958603
26,12.568759635771132,10.644019641735003,7.560050927938877,13.36509660980727,18.39408190784777,4.245165125236294,10.976974001889461,6.103118824879217
27,17.41986369026698,9.808236888969923,9.895588125294253,10.541071822012738,19.803540419669964,4.14965982973563,9.217914340472921,6.18663412857916
28,16.04173477624853,3.564443490797742,8.331603335409321,12.299719000204457,19.733042808221548,5.807783774976483,10.571692700415358,8.024271812514282
29,23.483836884088525,2.425441470356482,6.42787228655326,11.829012914610338,15.846969165718505,5.859861245044495,13.719071780185054,7.879480992506838
30,30.98113514314187,4.711587986578847,6.595638751900168,11.257763553922917,15.404026930278135,5.868546810131026,12.925762810992026,8.642367620589564
