Event,Event_Date,Domain,Day_Relative,Date,Close_Price,Daily_Return_Pct,Cumulative_Return_Pct,Volume
iPod Launch,2001-10-23,Consumer Electronics,-30,2001-09-05,0.2781670391559601,1.64384752078508,2.260095045186783,360057600
iPod Launch,2001-10-23,Consumer Electronics,-29,2001-09-06,0.26572099328041077,-4.474306486244473,-2.315335020259768,282368800
iPod Launch,2001-10-23,Consumer Electronics,-28,2001-09-07,0.25912225246429443,-2.4833343932117558,-4.741171902595331,241830400
iPod Launch,2001-10-23,Consumer Electronics,-27,2001-09-10,0.26047250628471375,0.5210875590877295,-4.244790000447008,308845600
iPod Launch,2001-10-23,Consumer Electronics,-26,2001-09-17,0.2547740936279297,-2.187721359948569,-6.339647182870833,458007200
iPod Launch,2001-10-23,Consumer Electronics,-25,2001-09-18,0.24412685632705688,-4.179089462848584,-10.253797118318285,327101600
iPod Launch,2001-10-23,Consumer Electronics,-24,2001-09-19,0.2552241384983063,4.545703139019808,-6.174201156774595,373318400
iPod Launch,2001-10-23,Consumer Electronics,-23,2001-09-20,0.23512981832027435,-7.873205213371803,-13.561298842787162,411174400
iPod Launch,2001-10-23,Consumer Electronics,-22,2001-09-21,0.23587964475154877,0.31889891151664074,-13.28564676566769,570516800
iPod Launch,2001-10-23,Consumer Electronics,-21,2001-09-24,0.2466762661933899,4.577173860513972,-9.316580056112066,294537600
iPod Launch,2001-10-23,Consumer Electronics,-20,2001-09-25,0.23303039371967316,-5.5318951775517045,-14.333091790826968,374404800
iPod Launch,2001-10-23,Consumer Electronics,-19,2001-09-26,0.22718240320682526,-2.5095398156014026,-16.482936961130868,493796800
iPod Launch,2001-10-23,Consumer Electronics,-18,2001-09-27,0.2325802743434906,2.376007587062623,-14.498565206835467,322240800
iPod Launch,2001-10-23,Consumer Electronics,-17,2001-09-28,0.2325802743434906,0.0,-14.498565206835467,365108800
iPod Launch,2001-10-23,Consumer Electronics,-16,2001-10-01,0.23303039371967316,0.19353291135850714,-14.333091790826968,208208000
iPod Launch,2001-10-23,Consumer Electronics,-15,2001-10-02,0.22568266093730927,-3.1531220735106946,-17.034273983264548,235883200
iPod Launch,2001-10-23,Consumer Electronics,-14,2001-10-03,0.22463291883468628,-0.4651407858553114,-17.42018141324936,683043200
