Event,Date,Domain,Event_Type,Event_Day_Return_Pct,Cumulative_Return_30d_Pct,Pre_Event_Avg_Return_Pct,Post_Event_Avg_Return_Pct,Pre_Event_Volatility_Pct,Post_Event_Volatility_Pct,Pre_Event_Avg_Volume,Post_Event_Avg_Volume,Volume_Change_Pct,Event_Day_Price,Price_30d_After
iPod Launch,2001-10-23,Consumer Electronics,Product Launch,-4.626620102806345,30.98113514314187,0.2033480701315142,0.9566643904679246,3.6730588092656293,3.3347806288208424,344817946.6666667,273264880.0,-20.750969419766474,0.2720191478729248,0.35629376769065857
iPhone Launch,2007-06-29,Mobile/Smartphone,Product Launch,1.227588169618432,4.711587986578847,0.4049115290285565,0.1978757290944759,1.8776427605509012,3.0135605468826476,1018784666.6666666,1109094093.3333333,8.864427353637705,3.6601059436798096,3.832555055618286
iPad Launch,2010-04-03,Tablet Computing,Product Launch,1.0679772966558643,6.595638751900168,0.5107623929112204,0.24420141886110605,1.1812757709583945,2.5544794629071066,525719973.3333333,690404120.0,31.3254498630678,7.152565956115723,7.62432336807251
iPhone 5S Touch ID,2013-09-20,Mobile Security,Product Launch,-1.035384069186951,11.257763553922917,0.09312229503889292,0.36619619645976237,1.9815971523894524,1.4435790526169927,412918146.6666667,342714960.0,-17.001719888890975,14.413728713989258,16.036392211914062
Apple Pay Launch,2014-10-20,Mobile Payments,Product Launch,2.139881309686098,15.404026930278135,-0.03494659246669696,0.4848475801481171,1.3737851674207877,1.1259216339092155,264636893.33333334,195308973.33333334,-26.1973752513318,22.020477294921875,25.412517547607422
AirPods Launch,2016-12-13,Audio/Wearables,Product Launch,1.6681522863935871,5.868546810131026,0.011706401661440975,0.19151890707470365,1.1995188851136274,0.5084553596203341,131993773.33333333,107547000.0,-18.521156503039084,26.549619674682617,28.107696533203125
M1 Chip Announcement,2020-11-10,Semiconductors,Product Launch,-0.3009053910975057,12.925762810992026,0.07837572822614033,0.41921298677286073,2.631273431959285,1.6604102583263762,130027033.33333333,101570803.33333333,-21.88485676440104,112.8912582397461,127.48331451416016
Vision Pro Announcement,2023-06-05,Spatial Computing,Product Announcement,-0.7571022612099298,8.642367620589564,0.28684817953475034,0.28062179666928366,1.2501004180235438,0.9050668422678749,57364713.333333336,54813686.666666664,-4.447031142373592,177.42628479003906,192.76011657714844
