Label,Day -30,Day -29,Day -28,Day -27,Day -26,Day -25,Day -24,Day -23,Day -22,Day -21,Day -20,Day -19,Day -18,Day -17,Day -16,Day -15,Day -14,Day -13,Day -12,Day -11,Day -10,Day -9,Day -8,Day -7,Day -6,Day -5,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
Autopilot Announcement,111.38,113.84,119.93,118.69,120.74,117.09,119.08,117.55,118.65,118.32,117.85,107.15,110.06,110.33,111.36,109.46,105.54,105.7,106.43,104.24,104.09,103.52,102.44,101.41,106.12,107.72,110.01,109.56,109.44,108.48,100.0,94.8,95.84,96.96,95.54,96.02,97.28,99.34,97.55,99.32,99.3,93.57,102.47,100.5,100.74,102.02,102.4,100.85,97.49,101.82,101.39,102.12,105.98,105.15,106.24,109.19,107.21,108.78,104.57,104.98,102.48
Model 3 First Deliveries,112.02,110.84,110.37,111.09,112.33,114.19,114.44,112.66,108.15,110.79,107.66,107.92,105.24,97.62,92.17,93.48,94.32,97.66,98.34,96.52,97.82,95.37,97.96,97.07,98.46,98.01,102.22,101.35,102.62,99.82,100.0,96.54,95.37,97.26,103.59,106.52,106.0,109.0,108.49,106.07,106.8,108.57,108.14,108.31,105.03,103.7,100.83,101.87,105.28,105.33,103.87,103.16,103.67,105.4,106.22,106.07,104.33,102.82,104.64,102.49,108.54
Cybertruck Reveal,68.97,69.86,72.42,72.68,73.2,73.83,72.41,71.44,72.03,71.78,84.46,92.48,92.36,89.12,88.78,88.75,88.3,89.47,89.4,92.04,94.56,95.01,97.26,98.62,97.54,98.46,99.25,98.64,101.32,99.26,100.0,93.86,94.79,92.7,93.37,92.99,94.37,94.75,93.86,93.11,94.66,95.69,98.31,99.4,101.37,101.0,107.52,106.81,110.8,113.87,114.31,118.15,119.85,121.45,121.29,116.87,117.9,121.26,124.85,127.26,132.19
Tesla Bot Announcement,96.93,97.55,101.82,99.27,97.02,96.6,95.66,95.95,98.07,97.3,96.41,95.53,97.65,95.74,96.07,100.58,102.04,105.38,105.39,105.56,106.11,103.81,105.98,105.42,105.1,107.24,106.49,101.89,98.85,102.3,100.0,101.01,104.87,105.2,105.6,104.11,105.71,108.53,109.24,109.0,108.75,108.92,111.8,111.94,112.09,109.32,110.32,110.55,112.23,112.4,112.77,108.42,109.79,111.65,111.9,114.99,117.5,115.46,116.01,115.15,115.11
Dojo Supercomputer Announcement,96.93,97.55,101.82,99.27,97.02,96.6,95.66,95.95,98.07,97.3,96.41,95.53,97.65,95.74,96.07,100.58,102.04,105.38,105.39,105.56,106.11,103.81,105.98,105.42,105.1,107.24,106.49,101.89,98.85,102.3,100.0,101.01,104.87,105.2,105.6,104.11,105.71,108.53,109.24,109.0,108.75,108.92,111.8,111.94,112.09,109.32,110.32,110.55,112.23,112.4,112.77,108.42,109.79,111.65,111.9,114.99,117.5,115.46,116.01,115.15,115.11
Cybertruck Deliveries Begin,101.08,91.68,88.3,88.34,90.19,88.48,85.7,86.35,82.21,83.66,85.66,91.02,91.62,91.33,92.54,92.51,87.46,89.41,93.18,98.89,101.15,97.3,97.59,98.13,100.47,97.55,98.07,98.33,102.77,101.69,100.0,99.48,98.13,99.43,99.7,101.07,101.57,99.86,98.72,99.67,104.57,105.59,105.0,107.14,102.94,106.01,105.19,106.89,108.9,105.46,103.5,103.47,99.32,99.1,98.92,100.15,97.87,97.44,94.64,91.17,91.6
Optimus Gen 2 Reveal,83.93,85.95,91.32,91.92,91.63,92.85,92.82,87.75,89.7,93.49,99.21,101.48,97.62,97.91,98.46,100.8,97.88,98.4,98.66,103.11,102.03,100.33,99.81,98.45,99.76,100.03,101.4,101.9,100.19,99.05,100.0,104.91,105.94,105.34,107.49,103.28,106.36,105.54,107.24,109.26,105.8,103.84,103.82,99.65,99.43,99.25,100.48,98.19,97.76,94.96,91.47,91.9,90.08,88.55,88.67,87.26,87.4,86.85,76.32,76.58,79.79
FSD v12 Wide Rollout,108.12,104.18,106.5,107.93,109.07,111.38,108.25,105.88,108.58,115.33,115.05,111.48,112.07,113.58,110.45,114.73,114.92,116.25,116.16,116.59,108.25,103.99,101.58,102.79,100.89,102.28,102.15,97.51,93.5,94.11,100.0,98.57,101.07,99.44,98.29,99.33,102.23,103.47,101.14,100.82,95.87,96.88,98.45,94.88,99.53,101.77,98.83,100.46,98.42,92.91,90.4,89.44,86.27,84.61,81.73,83.25,93.29,97.92,96.83,111.65,105.45
