Event,Event_Date,Domain,Day_Relative,Date,Close_Price,Daily_Return_Pct,Cumulative_Return_Pct,Volume
Autopilot Announcement,2014-10-10,Autonomous Driving,-30,2014-08-28,17.590667724609375,0.23172928385630787,11.375636887379414,42673500
Autopilot Announcement,2014-10-10,Autonomous Driving,-29,2014-08-29,17.979999542236328,2.213286179479579,13.840698465915136,96706500
Autopilot Announcement,2014-10-10,Autonomous Driving,-28,2014-09-02,18.941333770751953,5.346686612852136,19.927403850769586,147786000
Autopilot Announcement,2014-10-10,Autonomous Driving,-27,2014-09-03,18.746000289916992,-1.0312551544632176,18.690646316944616,101584500
Autopilot Announcement,2014-10-10,Autonomous Driving,-26,2014-09-04,19.069332122802734,1.7248043736543428,20.73782777573787,125125500
Autopilot Announcement,2014-10-10,Autonomous Driving,-25,2014-09-05,18.492666244506836,-3.0240486377933085,17.08665713958444,167548500
Autopilot Announcement,2014-10-10,Autonomous Driving,-24,2014-09-08,18.80733299255371,1.701575878169237,19.078975454026327,82524000
Autopilot Announcement,2014-10-10,Autonomous Driving,-23,2014-09-09,18.565332412719727,-1.2867352321022762,17.546744322832964,68382000
Autopilot Announcement,2014-10-10,Autonomous Driving,-22,2014-09-10,18.739999771118164,0.9408253755734952,18.65265392158266,56719500
Autopilot Announcement,2014-10-10,Autonomous Driving,-21,2014-09-11,18.687332153320312,-0.2810438550752914,18.319187928852298,56491500
Autopilot Announcement,2014-10-10,Autonomous Driving,-20,2014-09-12,18.613332748413086,-0.39598699429163053,17.850659332902573,49869000
Autopilot Announcement,2014-10-10,Autonomous Driving,-19,2014-09-15,16.923999786376953,-9.075929522509396,7.154616550035686,246831000
Autopilot Announcement,2014-10-10,Autonomous Driving,-18,2014-09-16,17.382667541503906,2.710161669324518,10.058679894686428,124501500
Autopilot Announcement,2014-10-10,Autonomous Driving,-17,2014-09-17,17.42533302307129,0.2454484127106138,10.328817177538197,77665500
