Event,Year,Domain,Day,Normalized_Price,Daily_Return_Pct
Model 3 First Deliveries,2017,Electric Vehicles,-16,92.16880437209608,-5.582559174516721
Model 3 First Deliveries,2017,Electric Vehicles,-15,93.47897309876707,1.4214882525563466
Model 3 First Deliveries,2017,Electric Vehicles,-14,94.32357558289705,0.90352135473033
Model 3 First Deliveries,2017,Electric Vehicles,-13,97.65720918973543,3.534252795483339
Model 3 First Deliveries,2017,Electric Vehicles,-12,98.34363442227307,0.7028925342357439
Model 3 First Deliveries,2017,Electric Vehicles,-11,96.52013461930086,-1.8542123378747166
Model 3 First Deliveries,2017,Electric Vehicles,-10,97.8243348763976,1.3512209263288222
Model 3 First Deliveries,2017,Electric Vehicles,-9,95.37410307521338,-2.50472625679502
Model 3 First Deliveries,2017,Electric Vehicles,-8,97.9616267537716,2.713025438905192
Model 3 First Deliveries,2017,Electric Vehicles,-7,97.07225647854318,-0.9078761803985369
Model 3 First Deliveries,2017,Electric Vehicles,-6,98.46301235234122,1.4327017051524393
Model 3 First Deliveries,2017,Electric Vehicles,-5,98.00937451036562,-0.4607190366594627
Model 3 First Deliveries,2017,Electric Vehicles,-4,102.22342141877951,4.299636569936682
Model 3 First Deliveries,2017,Electric Vehicles,-3,101.35195655227385,-0.8525099770780753
Model 3 First Deliveries,2017,Electric Vehicles,-2,102.62034599192506,1.2514701075326817
Model 3 First Deliveries,2017,Electric Vehicles,-1,99.81794887011065,-2.7308396738741525
Model 3 First Deliveries,2017,Electric Vehicles,0,100.0,0.1823831604937487
Model 3 First Deliveries,2017,Electric Vehicles,1,96.53804002802363,-3.4619599719763694
Model 3 First Deliveries,2017,Electric Vehicles,2,95.37410307521338,-1.205677008226358
Model 3 First Deliveries,2017,Electric Vehicles,3,97.2602760780068,1.9776573954314758
Model 3 First Deliveries,2017,Electric Vehicles,4,103.58731491020185,6.50526513735219
Model 3 First Deliveries,2017,Electric Vehicles,5,106.51804693573735,2.8292383368331286
Model 3 First Deliveries,2017,Electric Vehicles,6,105.99874738986188,-0.4875225943531958
Model 3 First Deliveries,2017,Electric Vehicles,7,108.99812108479283,2.829631263376431
Model 3 First Deliveries,2017,Electric Vehicles,8,108.49374698214453,-0.46273651107794356
Model 3 First Deliveries,2017,Electric Vehicles,9,106.06738905925735,-2.236403470594972
Model 3 First Deliveries,2017,Electric Vehicles,10,106.80455055246767,0.6949935317051015
Model 3 First Deliveries,2017,Electric Vehicles,11,108.57432559068852,1.6570221297372845
Model 3 First Deliveries,2017,Electric Vehicles,12,108.1356131919401,-0.4040664276399042
Model 3 First Deliveries,2017,Electric Vehicles,13,108.30871588675961,0.16007926501722114
Model 3 First Deliveries,2017,Electric Vehicles,14,105.0287985060895,-3.0283041893870877
Model 3 First Deliveries,2017,Electric Vehicles,15,103.69773586661708,-1.2673311114715258
Model 3 First Deliveries,2017,Electric Vehicles,16,100.83266554498147,-2.7629053784943403
Model 3 First Deliveries,2017,Electric Vehicles,17,101.8742360636449,1.0329693388882788
Model 3 First Deliveries,2017,Electric Vehicles,18,105.28247980945298,3.345540420719151
Model 3 First Deliveries,2017,Electric Vehicles,19,105.33023610463007,0.04536015419045469
Model 3 First Deliveries,2017,Electric Vehicles,20,103.87381852693218,-1.3827155730014362
Model 3 First Deliveries,2017,Electric Vehicles,21,103.16053945060195,-0.6866784012039551
Model 3 First Deliveries,2017,Electric Vehicles,22,103.66789351874581,0.4918102123601331
Model 3 First Deliveries,2017,Electric Vehicles,23,105.4048462435998,1.6754972691134018
Model 3 First Deliveries,2017,Electric Vehicles,24,106.21661787577983,0.7701464032346061
Model 3 First Deliveries,2017,Electric Vehicles,25,106.06738905925735,-0.1404947921586297
Model 3 First Deliveries,2017,Electric Vehicles,26,104.33342483848203,-1.6347760005731682
Model 3 First Deliveries,2017,Electric Vehicles,27,102.82329103461585,-1.447411322118497
Model 3 First Deliveries,2017,Electric Vehicles,28,104.63784240251819,1.7647279615777611
Model 3 First Deliveries,2017,Electric Vehicles,29,102.48605115721281,-2.056417827336232
Model 3 First Deliveries,2017,Electric Vehicles,30,108.54150327732167,5.908562240162629
Cybertruck Reveal,2019,Electric Vehicles,-30,68.97387698818444,0.08587865860343324
Cybertruck Reveal,2019,Electric Vehicles,-29,69.86162220965994,1.2870745566869735
Cybertruck Reveal,2019,Electric Vehicles,-28,72.4177801579993,3.6588871936986234
Cybertruck Reveal,2019,Electric Vehicles,-27,72.67987866998187,0.36192563678525413
Cybertruck Reveal,2019,Electric Vehicles,-26,73.20407569394706,0.7212409177860479
Cybertruck Reveal,2019,Electric Vehicles,-25,73.82972240343997,0.8546610329575488
Cybertruck Reveal,2019,Electric Vehicles,-24,72.41495807963857,-1.9162530722660276
Cybertruck Reveal,2019,Electric Vehicles,-23,71.44266339047559,-1.342671065408474
Cybertruck Reveal,2019,Electric Vehicles,-22,72.02886550756652,0.820521085401027
Cybertruck Reveal,2019,Electric Vehicles,-21,71.77521710450407,-0.35214826899614415
Cybertruck Reveal,2019,Electric Vehicles,-20,84.45734698670971,17.66923235319593
Cybertruck Reveal,2019,Electric Vehicles,-19,92.47527476359652,9.493463935290936
Cybertruck Reveal,2019,Electric Vehicles,-18,92.35690873406645,-0.12799748887760698
Cybertruck Reveal,2019,Electric Vehicles,-17,89.11873507674885,-3.506152059118439
Cybertruck Reveal,2019,Electric Vehicles,-16,88.77773125380023,-0.38263988223681267
Cybertruck Reveal,2019,Electric Vehicles,-15,88.75236480087779,-0.02857299073112385
Cybertruck Reveal,2019,Electric Vehicles,-14,88.2986229789585,-0.5112447684490151
Cybertruck Reveal,2019,Electric Vehicles,-13,89.47101915005933,1.3277626893232641
Cybertruck Reveal,2019,Electric Vehicles,-12,89.40056394801344,-0.07874639488315571
Cybertruck Reveal,2019,Electric Vehicles,-11,92.03844122259852,2.9506271080336877
Cybertruck Reveal,2019,Electric Vehicles,-10,94.563596624375,2.7435877533706687
Cybertruck Reveal,2019,Electric Vehicles,-9,95.01451636793354,0.4768428440276917
Cybertruck Reveal,2019,Electric Vehicles,-8,97.25502888316572,2.358073903734903
Cybertruck Reveal,2019,Electric Vehicles,-7,98.6190603011222,1.4025304743831235
