Event,Year,Domain,Day,Normalized_Price,Daily_Return_Pct
CUDA Launch,2007,GPU Computing,-30,82.74086946746172,7.068943878213196
CUDA Launch,2007,GPU Computing,-29,81.91665617330605,-0.9961380626774763
CUDA Launch,2007,GPU Computing,-28,81.18680505595373,-0.8909679074402432
CUDA Launch,2007,GPU Computing,-27,82.22277758199355,1.276035588943114
CUDA Launch,2007,GPU Computing,-26,80.8570793262243,-1.6609731462882915
CUDA Launch,2007,GPU Computing,-25,82.45829727245182,1.9803064364559475
CUDA Launch,2007,GPU Computing,-24,82.7172651464198,0.3140592063310743
CUDA Launch,2007,GPU Computing,-23,83.16467265261227,0.5408876918264749
CUDA Launch,2007,GPU Computing,-22,80.95129455005618,-2.661440287033423
CUDA Launch,2007,GPU Computing,-21,78.03154106733963,-3.6068027064238173
CUDA Launch,2007,GPU Computing,-20,79.25597159472538,1.5691482067861307
CUDA Launch,2007,GPU Computing,-19,80.10364225695149,1.0695353866339241
CUDA Launch,2007,GPU Computing,-18,80.29194412076521,0.23507278634060658
CUDA Launch,2007,GPU Computing,-17,81.56346389094547,1.5836206036657696
CUDA Launch,2007,GPU Computing,-16,82.12852561991882,0.6927878023043066
CUDA Launch,2007,GPU Computing,-15,82.57596986435414,0.5448097857083667
CUDA Launch,2007,GPU Computing,-14,85.02465641247201,2.965374251298858
CUDA Launch,2007,GPU Computing,-13,85.6604208898425,0.7477413072818129
CUDA Launch,2007,GPU Computing,-12,84.74216687850856,-1.0719699971061147
CUDA Launch,2007,GPU Computing,-11,86.06084018340833,1.5561005264242311
CUDA Launch,2007,GPU Computing,-10,86.3668330082458,0.3555540756810638
CUDA Launch,2007,GPU Computing,-9,85.4721373951502,-1.035924997979476
CUDA Launch,2007,GPU Computing,-8,87.52061589459872,2.3966623064286985
CUDA Launch,2007,GPU Computing,-7,89.07465275242457,1.7756237681158193
CUDA Launch,2007,GPU Computing,-6,93.1246399078164,4.546733588340146
CUDA Launch,2007,GPU Computing,-5,93.17169241236803,0.050526374757753345
CUDA Launch,2007,GPU Computing,-4,93.76040438518687,0.6318571205224721
CUDA Launch,2007,GPU Computing,-3,93.85449102516873,0.10034794602133967
CUDA Launch,2007,GPU Computing,-2,101.20084457546525,7.827386276407888
CUDA Launch,2007,GPU Computing,-1,102.70781055961804,1.4890843949716626
CUDA Launch,2007,GPU Computing,0,100.0,-2.636421266176492
CUDA Launch,2007,GPU Computing,1,95.36149374756437,-4.638506252435626
CUDA Launch,2007,GPU Computing,2,97.9280365787989,2.6913827902366183
CUDA Launch,2007,GPU Computing,3,98.86977551188542,0.9616642648897944
CUDA Launch,2007,GPU Computing,4,97.26870451862936,-1.619373549668457
CUDA Launch,2007,GPU Computing,5,101.31866412033905,4.1636820617200865
CUDA Launch,2007,GPU Computing,6,101.48340758591445,0.16259932659565823
CUDA Launch,2007,GPU Computing,7,102.56654283123451,1.0673027946988434
CUDA Launch,2007,GPU Computing,8,103.06107631846434,0.48215867823833136
CUDA Launch,2007,GPU Computing,9,106.0514590730923,2.901563676074459
CUDA Launch,2007,GPU Computing,10,107.0874132300107,0.9768410222478874
CUDA Launch,2007,GPU Computing,11,106.61652998662636,-0.4397185711946694
CUDA Launch,2007,GPU Computing,12,108.66505440887846,1.9213947616838256
CUDA Launch,2007,GPU Computing,13,108.00567642590535,-0.606798557788446
CUDA Launch,2007,GPU Computing,14,109.960003993447,1.809467457835301
CUDA Launch,2007,GPU Computing,15,109.48909319638051,-0.42825643867251406
CUDA Launch,2007,GPU Computing,16,107.48766720148365,-1.8279683724360618
CUDA Launch,2007,GPU Computing,17,107.36994868677773,-0.10951815940450915
CUDA Launch,2007,GPU Computing,18,106.1926625095508,-1.0964764271810812
CUDA Launch,2007,GPU Computing,19,107.25228527943614,0.9978304949177064
CUDA Launch,2007,GPU Computing,20,104.42673783599075,-2.6344869352514677
CUDA Launch,2007,GPU Computing,21,103.93227782524666,-0.4734994322246111
CUDA Launch,2007,GPU Computing,22,104.45024112686478,0.4983661596343003
CUDA Launch,2007,GPU Computing,23,104.19124569921463,-0.24796058377267727
CUDA Launch,2007,GPU Computing,24,107.11098081280974,2.8022844856121276
CUDA Launch,2007,GPU Computing,25,107.74676365930166,0.5935739190018552
CUDA Launch,2007,GPU Computing,26,106.9461546861879,-0.7430468869072615
CUDA Launch,2007,GPU Computing,27,106.47524388912142,-0.44032513225770176
CUDA Launch,2007,GPU Computing,28,100.1648628648647,-5.92661805107303
CUDA Launch,2007,GPU Computing,29,101.01252434253011,0.8462662988008018
CUDA Launch,2007,GPU Computing,30,102.61358615122545,1.5850131645717358
Tesla V100 Launch,2017,AI Hardware,-30,88.78721430479528,-0.5173093091827008
Tesla V100 Launch,2017,AI Hardware,-29,88.49863630953705,-0.32502201754813775
Tesla V100 Launch,2017,AI Hardware,-28,90.1970294163813,1.9191178278768817
Tesla V100 Launch,2017,AI Hardware,-27,89.80952178241714,-0.4296234992122505
Tesla V100 Launch,2017,AI Hardware,-26,89.35609560030959,-0.5048753997444311
Tesla V100 Launch,2017,AI Hardware,-25,83.09011868288219,-7.012366504301115
Tesla V100 Launch,2017,AI Hardware,-24,82.47177256801493,-0.7441873049035208
Tesla V100 Launch,2017,AI Hardware,-23,83.07360915171701,0.7297485733142706
Tesla V100 Launch,2017,AI Hardware,-22,82.71910463654757,-0.4267354202969642
Tesla V100 Launch,2017,AI Hardware,-21,80.60845952841095,-2.5515811823766943
Tesla V100 Launch,2017,AI Hardware,-20,80.89702158013353,0.35797986143237814
Tesla V100 Launch,2017,AI Hardware,-19,80.22922658944893,-0.8254877344564537
Tesla V100 Launch,2017,AI Hardware,-18,78.72865290117743,-1.8703579132705483
Tesla V100 Launch,2017,AI Hardware,-17,81.81218849818988,3.916662464532461
Tesla V100 Launch,2017,AI Hardware,-16,81.86165331754286,0.06046143033326956
Tesla V100 Launch,2017,AI Hardware,-15,82.18320254452452,0.3927959110896051
Tesla V100 Launch,2017,AI Hardware,-14,83.48584520947374,1.5850473388932418
Tesla V100 Launch,2017,AI Hardware,-13,83.83213880378364,0.41479318253412334
Tesla V100 Launch,2017,AI Hardware,-12,84.87920659226936,1.2490052185552214
Tesla V100 Launch,2017,AI Hardware,-11,86.35502794144482,1.7387313199860754
Tesla V100 Launch,2017,AI Hardware,-10,85.76141822213793,-0.687406087934328
Tesla V100 Launch,2017,AI Hardware,-9,87.09704806234623,1.557378443473012
Tesla V100 Launch,2017,AI Hardware,-8,85.99226467480887,-1.2684510119637338
Tesla V100 Launch,2017,AI Hardware,-7,87.9215201778597,2.2435221474240485
Tesla V100 Launch,2017,AI Hardware,-6,85.31617904558647,-2.9632576040573344
Tesla V100 Launch,2017,AI Hardware,-5,85.95102671985111,0.7441117046808055
Tesla V100 Launch,2017,AI Hardware,-4,85.62125860024207,-0.3836697852183768
Tesla V100 Launch,2017,AI Hardware,-3,85.62948546463728,0.009608436654295893
Tesla V100 Launch,2017,AI Hardware,-2,84.73082010597828,-1.049481208234193
Tesla V100 Launch,2017,AI Hardware,-1,84.8709637843385,0.1653987040193039
Tesla V100 Launch,2017,AI Hardware,0,100.0,17.825927197086134
Tesla V100 Launch,2017,AI Hardware,1,104.29548345941879,4.295483459418792
Tesla V100 Launch,2017,AI Hardware,2,105.44150480191392,1.0988216406715656
Tesla V100 Launch,2017,AI Hardware,3,110.73460717400113,5.019941987769427
Tesla V100 Launch,2017,AI Hardware,4,112.79576354748133,1.8613479797164212
Tesla V100 Launch,2017,AI Hardware,5,105.30132923648242,-6.644251588264782
Tesla V100 Launch,2017,AI Hardware,6,109.71226780930799,4.188872642737129
Tesla V100 Launch,2017,AI Hardware,7,112.24607029712135,2.30949786966157
Tesla V100 Launch,2017,AI Hardware,8,114.63951386884321,2.132318365699848
Tesla V100 Launch,2017,AI Hardware,9,113.09614773088809,-1.3462776366278462
Tesla V100 Launch,2017,AI Hardware,10,114.3671663928763,1.123839040930541
Tesla V100 Launch,2017,AI Hardware,11,114.1113045327711,-0.22371968124684782
Tesla V100 Launch,2017,AI Hardware,12,117.06600041819894,2.589310408399803
Tesla V100 Launch,2017,AI Hardware,13,119.5668077589854,2.136237107147032
Tesla V100 Launch,2017,AI Hardware,14,119.13765560990441,-0.35892247783853026
Tesla V100 Launch,2017,AI Hardware,15,119.14586653076398,0.006891961082766684
Tesla V100 Launch,2017,AI Hardware,16,118.55163501356675,-0.4987428724972043
Tesla V100 Launch,2017,AI Hardware,17,122.15838164822517,3.0423423803861205
Tesla V100 Launch,2017,AI Hardware,18,121.60540402952138,-0.4526726788966484
Tesla V100 Launch,2017,AI Hardware,19,123.07450517842051,1.208088703477772
Tesla V100 Launch,2017,AI Hardware,20,132.00467878997173,7.25590860479608
Tesla V100 Launch,2017,AI Hardware,21,123.47067812401025,-6.464922868029288
Tesla V100 Launch,2017,AI Hardware,22,123.77605263407536,0.24732553081017183
Tesla V100 Launch,2017,AI Hardware,23,124.95626488877112,0.95350613432863
Tesla V100 Launch,2017,AI Hardware,24,125.22036955680717,0.2113576844435583
Tesla V100 Launch,2017,AI Hardware,25,125.75682170081015,0.4284064532804388
Tesla V100 Launch,2017,AI Hardware,26,125.13784581628471,-0.49220064260057095
Tesla V100 Launch,2017,AI Hardware,27,129.84228096511643,3.759402375951315
Tesla V100 Launch,2017,AI Hardware,28,129.6524333143685,-0.14621404471393262
Tesla V100 Launch,2017,AI Hardware,29,131.61674068054504,1.515056305510032
Tesla V100 Launch,2017,AI Hardware,30,130.70887590181619,-0.689779107152011
H100 Hopper Launch,2022,AI Hardware,-30,93.21289557404849,1.6818109200975817
H100 Hopper Launch,2022,AI Hardware,-29,94.6453217197643,1.536725296316832
H100 Hopper Launch,2022,AI Hardware,-28,100.66525747255757,6.360521199999414
