Event,Date,Domain,Event_Type,Event_Day_Return_Pct,Cumulative_Return_30d_Pct,Pre_Event_Avg_Return_Pct,Post_Event_Avg_Return_Pct,Pre_Event_Volatility_Pct,Post_Event_Volatility_Pct,Pre_Event_Avg_Volume,Post_Event_Avg_Volume,Volume_Change_Pct,Event_Day_Price,Price_30d_After
CUDA Launch,2007-06-23,GPU Computing,Platform Launch,-2.636421266176492,2.6135861512254444,0.9797994068170606,0.10762793354970729,2.394559992492395,2.101787012294171,634721800.0,530197800.0,-16.467687103231686,0.6489656567573547,0.6659269332885742
Tesla V100 Launch,2017-05-10,AI Hardware,Product Launch,17.825927197086134,30.708875901816192,-0.14918164726339295,0.9355417679450452,1.9298471841401255,2.829283493757229,474902800.0,1055255333.3333334,122.20448759900621,2.9907867908477783,3.909223794937134
H100 Hopper Launch,2022-03-22,AI Hardware,Product Launch,-0.7855142217840894,-23.337355177066655,0.4206605906105024,-0.7983191214040556,4.655612512338172,4.177941184361938,535153033.3333333,555698833.3333334,3.839238259012645,26.47722816467285,20.29814338684082
DGX-1 Launch,2016-04-05,AI Hardware,Product Launch,-0.13964764099606564,18.265792413408775,0.5644770790295406,0.6033324811431514,1.4626336142585041,3.0788840254126106,317032000.0,413394933.3333333,30.395333383801425,0.875211775302887,1.0350761413574219
RTX 2080 Ti Launch,2018-08-20,Gaming/Graphics,Product Launch,1.2335837749640088,15.653936167988514,-0.022483368752159758,0.5003269729019748,1.5337036698263296,1.7342144494543497,349064800.0,402557733.3333333,15.324642683345125,6.134952068328857,7.095313549041748
A100 Ampere Launch,2020-05-14,AI Hardware,Product Launch,3.2198299870897618,14.054846354862093,0.6277240736594607,0.4729709083542148,3.8926359962609447,2.6370745097238424,497707866.6666667,576765200.0,15.884284462451737,7.99957275390625,9.123900413513184
Arm Acquisition Announcement,2020-09-13,M&A/Corporate,Acquisition,5.818159912852239,2.0897677163873807,0.5148021890443122,0.09436792299640784,3.4605527579131583,2.291451742004819,557343466.6666666,488384800.0,-12.372741548239786,12.832361221313477,13.1005277633667
Blackwell B200 Announcement,2024-03-18,AI Hardware,Product Launch,0.703574253845507,-2.320948921398591,1.1914765987987506,-0.027203373651865124,4.138809730919527,3.2230578400761236,595568800.0,479257400.0,-19.529464941749808,88.40989685058594,86.35794830322266
