Label,Day -30,Day -29,Day -28,Day -27,Day -26,Day -25,Day -24,Day -23,Day -22,Day -21,Day -20,Day -19,Day -18,Day -17,Day -16,Day -15,Day -14,Day -13,Day -12,Day -11,Day -10,Day -9,Day -8,Day -7,Day -6,Day -5,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
CUDA Launch,82.74,81.92,81.19,82.22,80.86,82.46,82.72,83.16,80.95,78.03,79.26,80.1,80.29,81.56,82.13,82.58,85.02,85.66,84.74,86.06,86.37,85.47,87.52,89.07,93.12,93.17,93.76,93.85,101.2,102.71,100.0,95.36,97.93,98.87,97.27,101.32,101.48,102.57,103.06,106.05,107.09,106.62,108.67,108.01,109.96,109.49,107.49,107.37,106.19,107.25,104.43,103.93,104.45,104.19,107.11,107.75,106.95,106.48,100.16,101.01,102.61
Tesla V100 Launch,88.79,88.5,90.2,89.81,89.36,83.09,82.47,83.07,82.72,80.61,80.9,80.23,78.73,81.81,81.86,82.18,83.49,83.83,84.88,86.36,85.76,87.1,85.99,87.92,85.32,85.95,85.62,85.63,84.73,84.87,100.0,104.3,105.44,110.73,112.8,105.3,109.71,112.25,114.64,113.1,114.37,114.11,117.07,119.57,119.14,119.15,118.55,122.16,121.61,123.07,132.0,123.47,123.78,124.96,125.22,125.76,125.14,129.84,129.65,131.62,130.71
H100 Hopper Launch,93.21,94.65,100.67,97.34,90.28,91.48,99.87,99.93,92.38,89.12,88.17,84.39,89.52,91.06,91.92,88.5,91.31,89.41,86.47,80.5,81.11,86.77,85.42,83.32,80.42,86.61,92.35,93.37,99.73,100.79,100.0,96.64,106.13,104.4,106.39,108.04,104.4,102.87,100.71,103.15,97.76,92.02,91.27,87.16,82.63,81.07,83.71,80.15,82.13,83.69,80.99,76.09,73.57,75.03,70.83,69.43,74.58,69.93,73.64,73.9,76.66
DGX-1 Launch,87.85,88.07,88.68,88.88,88.29,87.72,91.61,92.14,91.33,91.05,90.46,88.81,88.76,88.62,90.13,90.35,89.9,92.59,91.8,94.57,94.85,94.69,96.31,96.45,97.43,98.99,100.03,99.66,101.12,100.14,100.0,100.14,99.1,99.75,100.36,100.25,102.77,103.05,103.86,103.41,101.57,101.96,101.85,101.45,101.96,102.04,104.36,101.26,99.38,100.7,99.5,97.23,97.82,98.83,98.69,100.59,100.87,99.5,114.63,118.01,118.27
RTX 2080 Ti Launch,100.57,102.18,99.87,101.37,100.6,100.15,102.36,101.56,101.69,101.23,100.63,100.35,101.63,102.82,101.69,98.5,98.8,99.45,101.12,101.72,102.5,103.68,104.27,103.48,102.8,103.34,105.48,104.54,103.87,98.78,100.0,102.21,106.04,107.67,109.84,111.32,110.71,112.43,112.15,113.31,114.53,112.4,110.1,109.75,110.91,110.13,108.27,109.54,111.6,110.59,109.41,109.8,107.5,106.36,107.26,108.36,107.76,107.95,113.45,116.82,115.65
A100 Ampere Launch,75.67,79.53,75.93,83.56,80.64,83.11,81.86,84.01,88.4,87.43,91.74,91.0,89.36,83.9,89.08,88.42,90.15,92.48,90.7,92.91,90.99,88.03,90.68,91.45,92.71,94.91,97.29,100.44,97.16,96.88,100.0,105.73,108.96,109.65,111.7,109.27,112.4,108.56,106.16,105.68,110.52,109.66,109.9,109.2,109.21,111.13,109.69,112.7,116.69,109.59,111.28,114.29,112.98,115.06,114.84,115.38,118.69,117.73,115.06,118.23,114.05
Arm Acquisition Announcement,82.44,85.51,87.2,87.66,88.04,86.98,86.71,84.26,88.85,88.87,89.81,95.81,95.22,94.27,94.29,98.5,98.79,99.02,99.2,98.08,102.11,103.87,107.37,111.45,101.11,98.06,92.55,98.78,95.65,94.5,100.0,100.92,97.22,96.82,94.69,97.24,98.18,94.19,95.93,100.01,101.26,102.75,105.11,105.77,101.48,105.98,106.71,108.48,107.51,106.92,110.52,110.69,109.5,108.53,107.3,104.86,106.01,105.07,103.8,105.58,102.09
Blackwell B200 Announcement,74.79,78.38,77.12,79.24,78.73,81.54,81.67,81.54,83.54,82.14,82.09,78.51,76.27,88.78,89.1,89.41,88.97,87.8,89.43,93.01,96.36,97.18,100.28,104.76,98.95,96.97,103.91,102.75,99.42,99.3,100.0,101.07,102.17,103.37,106.6,107.4,104.64,102.03,102.15,102.16,101.13,100.58,97.12,99.49,98.51,96.49,98.4,102.44,99.7,97.23,98.82,95.0,95.72,86.15,89.9,93.18,90.08,93.42,99.19,99.21,97.68
