Event,Event_Date,Domain,Day_Relative,Date,Close_Price,Daily_Return_Pct,Cumulative_Return_Pct,Volume
CUDA Launch,2007-06-23,GPU Computing,-30,2007-05-11,0.5369598269462585,7.068943878213196,-17.25913053253828,1530630000
CUDA Launch,2007-06-23,GPU Computing,-29,2007-05-14,0.5316109657287598,-0.9961380626774763,-18.083343826693955,731568000
CUDA Launch,2007-06-23,GPU Computing,-28,2007-05-15,0.5268744826316833,-0.8909679074402432,-18.813194944046273,621360000
CUDA Launch,2007-06-23,GPU Computing,-27,2007-05-16,0.5335975885391235,1.276035588943114,-17.777222418006446,523104000
CUDA Launch,2007-06-23,GPU Computing,-26,2007-05-17,0.5247346758842468,-1.6609731462882915,-19.1429206737757,443664000
CUDA Launch,2007-06-23,GPU Computing,-25,2007-05-18,0.5351260304450989,1.9803064364559475,-17.54170272754818,604266000
CUDA Launch,2007-06-23,GPU Computing,-24,2007-05-21,0.5368066430091858,0.3140592063310743,-17.282734853580195,645768000
CUDA Launch,2007-06-23,GPU Computing,-23,2007-05-22,0.5397101640701294,0.5408876918264749,-16.83532734738773,401736000
CUDA Launch,2007-06-23,GPU Computing,-22,2007-05-23,0.5253461003303528,-2.661440287033423,-19.048705449943824,448248000
CUDA Launch,2007-06-23,GPU Computing,-21,2007-05-24,0.5063979029655457,-3.6068027064238173,-21.96845893266036,607800000
CUDA Launch,2007-06-23,GPU Computing,-20,2007-05-25,0.5143440365791321,1.5691482067861307,-20.744028405274616,308976000
CUDA Launch,2007-06-23,GPU Computing,-19,2007-05-29,0.5198451280593872,1.0695353866339241,-19.896357743048508,316242000
CUDA Launch,2007-06-23,GPU Computing,-18,2007-05-30,0.5210671424865723,0.23507278634060658,-19.708055879234788,331650000
CUDA Launch,2007-06-23,GPU Computing,-17,2007-05-31,0.5293188691139221,1.5836206036657696,-18.436536109054536,481572000
CUDA Launch,2007-06-23,GPU Computing,-16,2007-06-01,0.5329859256744385,0.6927878023043066,-17.87147438008119,429084000
CUDA Launch,2007-06-23,GPU Computing,-15,2007-06-04,0.5358896851539612,0.5448097857083667,-17.424030135645864,322002000
CUDA Launch,2007-06-23,GPU Computing,-14,2007-06-05,0.5517808198928833,2.965374251298858,-14.97534358752799,698586000
CUDA Launch,2007-06-23,GPU Computing,-13,2007-06-06,0.5559067130088806,0.7477413072818129,-14.339579110157509,950736000
CUDA Launch,2007-06-23,GPU Computing,-12,2007-06-07,0.5499475598335266,-1.0719699971061147,-15.257833121491437,791862000
CUDA Launch,2007-06-23,GPU Computing,-11,2007-06-08,0.5585052967071533,1.5561005264242311,-13.939159816591673,533268000
CUDA Launch,2007-06-23,GPU Computing,-10,2007-06-11,0.5604910850524902,0.3555540756810638,-13.633166991754198,434634000
CUDA Launch,2007-06-23,GPU Computing,-9,2007-06-12,0.5546848177909851,-1.035924997979476,-14.527862604849794,526770000
CUDA Launch,2007-06-23,GPU Computing,-8,2007-06-13,0.5679787397384644,2.3966623064286985,-12.47938410540128,587232000
CUDA Launch,2007-06-23,GPU Computing,-7,2007-06-14,0.5780639052391052,1.7756237681158193,-10.925347247575434,508548000
CUDA Launch,2007-06-23,GPU Computing,-6,2007-06-15,0.6043469309806824,4.546733588340146,-6.875360092183602,1081998000
